Y,X,id,obstimeJST,type
35.765,138.626,nowc_20240807070000_20240807070000_liden_0,2024/08/07 15:55:00.400,1
40.303,140.73,nowc_20240807070000_20240807070000_liden_1,2024/08/07 15:55:04.070,0
36.491,139.625,nowc_20240807070000_20240807070000_liden_2,2024/08/07 15:55:05.670,0
40.273,140.805,nowc_20240807070000_20240807070000_liden_3,2024/08/07 15:55:06.330,0
38.263,140.457,nowc_20240807070000_20240807070000_liden_4,2024/08/07 15:55:06.680,1
35.658,138.573,nowc_20240807070000_20240807070000_liden_5,2024/08/07 15:55:07.280,0
36.776,139.831,nowc_20240807070000_20240807070000_liden_6,2024/08/07 15:55:07.670,0
36.711,139.853,nowc_20240807070000_20240807070000_liden_7,2024/08/07 15:55:08.090,0
36.484,139.651,nowc_20240807070000_20240807070000_liden_8,2024/08/07 15:55:08.570,0
35.724,138.632,nowc_20240807070000_20240807070000_liden_9,2024/08/07 15:55:13.480,0
38.117,140.429,nowc_20240807070000_20240807070000_liden_10,2024/08/07 15:55:13.700,1
38.048,140.365,nowc_20240807070000_20240807070000_liden_11,2024/08/07 15:55:13.710,0
35.726,138.632,nowc_20240807070000_20240807070000_liden_12,2024/08/07 15:55:13.720,0
35.732,138.49,nowc_20240807070000_20240807070000_liden_13,2024/08/07 15:55:13.740,0
38.32,140.201,nowc_20240807070000_20240807070000_liden_14,2024/08/07 15:55:17.580,0
38.295,140.072,nowc_20240807070000_20240807070000_liden_15,2024/08/07 15:55:18.030,0
38.218,140.158,nowc_20240807070000_20240807070000_liden_16,2024/08/07 15:55:18.130,1
35.703,138.584,nowc_20240807070000_20240807070000_liden_17,2024/08/07 15:55:20.020,0
36.464,139.649,nowc_20240807070000_20240807070000_liden_18,2024/08/07 15:55:20.020,0
35.719,138.582,nowc_20240807070000_20240807070000_liden_19,2024/08/07 15:55:20.040,1
35.811,138.661,nowc_20240807070000_20240807070000_liden_20,2024/08/07 15:55:24.530,0
36.692,139.764,nowc_20240807070000_20240807070000_liden_21,2024/08/07 15:55:27.770,0
39.337,141.46,nowc_20240807070000_20240807070000_liden_22,2024/08/07 15:55:30.010,1
36.68,139.603,nowc_20240807070000_20240807070000_liden_23,2024/08/07 15:55:30.490,1
40.331,140.721,nowc_20240807070000_20240807070000_liden_24,2024/08/07 15:55:31.610,0
36.458,139.653,nowc_20240807070000_20240807070000_liden_25,2024/08/07 15:55:33.290,0
35.756,138.687,nowc_20240807070000_20240807070000_liden_26,2024/08/07 15:55:33.440,0
35.728,138.618,nowc_20240807070000_20240807070000_liden_27,2024/08/07 15:55:38.280,0
40.243,140.769,nowc_20240807070000_20240807070000_liden_28,2024/08/07 15:55:38.330,0
35.697,138.612,nowc_20240807070000_20240807070000_liden_29,2024/08/07 15:55:38.450,0
36.667,139.692,nowc_20240807070000_20240807070000_liden_30,2024/08/07 15:55:40.210,0
36.474,139.614,nowc_20240807070000_20240807070000_liden_31,2024/08/07 15:55:40.530,0
35.026,138.106,nowc_20240807070000_20240807070000_liden_32,2024/08/07 15:55:42.640,0
36.822,139.475,nowc_20240807070000_20240807070000_liden_33,2024/08/07 15:55:44.070,0
40.121,140.807,nowc_20240807070000_20240807070000_liden_34,2024/08/07 15:55:45.390,0
38.27,140.183,nowc_20240807070000_20240807070000_liden_35,2024/08/07 15:55:45.790,1
35.677,138.606,nowc_20240807070000_20240807070000_liden_36,2024/08/07 15:55:46.280,0
40.29,140.754,nowc_20240807070000_20240807070000_liden_37,2024/08/07 15:55:46.330,0
35.675,138.595,nowc_20240807070000_20240807070000_liden_38,2024/08/07 15:55:46.390,0
36.465,139.628,nowc_20240807070000_20240807070000_liden_39,2024/08/07 15:55:46.530,0
36.734,139.647,nowc_20240807070000_20240807070000_liden_40,2024/08/07 15:55:48.010,1
36.701,139.69,nowc_20240807070000_20240807070000_liden_41,2024/08/07 15:55:50.790,0
